sichuanese,english,matched_keywords,n_content,pred_deepseek,pred_glm4plus,preference
都认可他的能力对他的人品已没得啥子恶感,"Everyone acknowledges his abilities, so no one holds megative feelings about this character.",啥子,1,"Everyone acknowledges his abilities, and they no longer have any negative feelings about his character.",Everyone acknowledges his ability and holds no ill will toward his character.,g
那就安逸下酒干巴适得干,Now this is what I call the ultimate booze food! Pure bliss!,安逸|巴适,2,"That's so satisfying, perfect with a drink—dry it up, just right!",That's some fine dried meat to go with my drink—completely satisfying!,d
好的成功打瘸五万又出来了那必须碰我也不晓得对家手中是啥子牌但九桶利用率很低那就先打九桶,"Alright, I successfully cleared my Characters, but another 5-Character just showed up. Well, that’s a must-pong for sure! I have no idea what my opposite player is holding, but this 9-Circle has zero utility right now, so let’s dump the 9-Circle first.",啥子,1,"Alright, managed to cripple 50,000 and now it's out again. Gotta bump it. I don’t know what tiles the opponent across has in hand, but the nine of circles has low utility, so I’ll discard the nine of circles first.","Alright, I successfully knocked out 50,000 and now I'm back in the game. I have to play against them, but I don't know what cards they have. The nine-buckets are not very useful right now, so I'll start with those.",tie-bad
再上底色趁底色还没干透开始抓花啥子叫抓花烟,"Next, apply the base coat. While the base coat is still wet, start scratching out the patterns. So, what exactly do we mean by 'scratching out patterns'? Well...",啥子,1,"Apply the base color again, and while it's still wet, start 'catching the pattern'—you know, creating the smoke-like marbled effect.","While the base coat is still wet, apply the top color to create a marbled effect. This technique is called ""zhuā huā yān"" (marbling).",tie-bad
方便了出门都是二校出门都是新世纪周围买买点东西啊买点吃的喝的用的啊那是相当的安逸朋友们,"It's just so convenient! Step out the door, and you've got the No.2 School right there, plus the New Century Shopping Mall. Grabbing groceries, getting a bite to eat, a drink, or daily essentials—it is honestly pure bliss, my friends!",安逸,1,"When it's convenient, you step out and you're right at Erxiao, or just a few steps away from Xinshiji. You can buy some stuff around—snacks, drinks, daily necessities—it's super comfy and chill, my friends.","It's super convenient to go out now. You're always near Erxiao or Xinshiji shopping malls, so you can easily grab whatever you need—food, drinks, daily supplies. It's really comfortable and hassle-free for us folks.",g
把大画小不是把小画大是啥子问题就修啥子他这个本驰是啥子问题嘛,"You are supposed to minimize big issues, not blow small problems out of proportion! Just fix only what's actually broken. So what on earth is wrong with his Benz anyway?!",啥子|嘛(语气词),1,Fixing big issues instead of small ones — that's not the problem. The real problem is fixing what needs fixing. What's wrong with his Benz?,Making a big picture smaller isn't a problem; making a small picture bigger is. What's the issue with his Benchi?,tie-bad
我儿豁只有找到川渝婆娘才明白的道理衣架子,"Holly shit, you don't truly know what a 'clothes hanger' is capable of until you get yourself a Sichuan/Chongqing wife.",婆娘,1,"I swear to god, some things you only understand when you end up with a woman from Sichuan or Chongqing—like why we call clothes hangers 'yì jià zi' (shoulder racks).","Only after finding a woman from Sichuan or Chongqing will you truly understand the meaning of ""衣架子"" (yī jià zi) - a term that refers to someone with a great figure, like a clothes hanger that makes any outfit look good.",tie-bad
我真的很想问一下自己为啥子不打一筒出去,I seriously need to ask myself: why on earth didn't I just dump that 1 bamboo?!,啥子,1,I really want to ask myself why I didn’t play that one bamboo tile.,I really wanna ask myself why I didn't just play a straight tile.,tie-bad
的小西嘎嘎走,Walk it out!,嘎嘎,1,"Walk step by step, little by little.",My little one is walking around.,d
你们莫说那个肺啊洗的时候确实难洗但是随便你炖稍微加点辣椒炖炖出来真的好吃啊,"Don't judge, guys! Cleaning tripe or lung is honestly a total nightmare. But once it's clean? Just stew it however you like with a touch of chili, it comes out so incredibly delicious!",确实,1,"Don’t even mention those lungs—they’re a real pain to wash, I tell ya. But no matter how you stew ’em, just throw in a little chili, and once they’re done, oh man, they’re absolutely delicious.","I know the lungs are hard to clean, but once you stew them with a little chili, they turn out incredibly delicious.",tie-bad
我以为哎老师你狗子跑了回来跑不了庙老子回来之后收拾到你狗日的,"I thought—hey, teacher! Your dog's run off! You might have slipped away now, but I know where you live! Once I'm back, I'm gonna kick your ass, you son of a bitch.",老子,1,"I thought, hey teacher, your dog's run off—but the temple can't run away. Once I'm back, I'll deal with you, you bastard.","I thought your dog ran away and couldn't get back, but I'm back now and I'm gonna deal with that son of a bitch.",tie-bad
当然他不会真希望男人被砍了脑壳同义词神经病背时的,"Of course, he doesn’t actually want the man to be decapitated, that's just a synonym for 'freak,' or 'goddamned troublemaker.'",背时,1,"Of course, he wouldn’t actually want the man to get his head chopped off.  
Synonyms: crazy, unlucky bastard.","Of course, he doesn't really want the man to be beheaded—what a psycho, the damn idiot.",tie-bad
就给大家做好喽配上火爆鲜辣过硬的口感口味独特真的巴适,"There you go, all done! It’s got that signature blazing-hot, crisp, and hard-hitting kick. The flavor is unique and very satisfying!",巴适,1,"Here it is, made just for everyone — paired with a fiery, spicy kick and a bold, rock-solid texture. The flavor is truly one of a kind — really, really satisfying.","We've got it perfectly prepared for you with a fiery, fresh, and bold kick. The texture is spot-on, the flavor is truly one-of-a-kind, and honestly, it's just pure bliss.",d
瓜娃子真的,"What an idiot, really.",瓜娃子,1,The guy's really a dummy.,You're such an idiot.,g
啥子品种乖不乖当然乖了,What breed is it? Is it good-looking? Of course it is.,啥子,1,What breed is it? Is it well-behaved? Of course it is!,Of course the breed is good!,tie-bad
那个味道硬是安逸的很哦我先吃了哈,The taste is so damn good. I'll go ahead first!,硬是|安逸|哈(语气词)|哦(语气词),2,"That flavor is truly delightful. I'll go ahead and eat first, alright?","That taste is just so damn good, I'm gonna have some first.",d
你吹啥子啊你干你的哇喊你快点快点查的你再给我员工嗦快点说快点瓜娃子,"What are you bragging about? Do your job! Hurry up! Stop chatting with my employees! Hurry up, stop chatting, you idiot.",啥子|瓜娃子,2,"What are you bragging about? Just mind your own business, alright? I told you to hurry up and check! Talk to my staff again? Hurry up and say it, you idiot.","What are you bragging about? Get back to your work! I told you to check it faster! Tell your employee to hurry up! Speak faster, you idiot!",d
加生抽老抽调味那颗甜蜜蜜的冰糖摊开下猪蹄哇现在看到都安逸然后我们盖上盖子,"Season it with light and dark soy sauce, then scatter in those sweet little crystal sugars. Drop in the pork trotters. Wow, they look so incredibly mouthwatering already! Now, let's pop the lid on.",安逸,1,"Add light and dark soy sauce to season, then toss in that sweet rock sugar. Once the pig trotters are spread out, wow, just looking at them now feels so satisfying. Then we cover the lid.","Add light and dark soy sauce for seasoning, along with that sweet rock sugar, and spread it out under the pig's trotter. Just looking at it now is so satisfying. Then we'll put the lid on.",d
我说那儿不是骗钱的没得事就当娱乐一下我以前抓娃娃凶的劈爆他那个爪爪设置过的哪个抓得起来老子把鸡蛋,"I told you it’s not a scam, but hey, it’s just for fun. I used to be an absolute beast at claw machines. But their claw is definitely modified. No one can win that. If they do, I swear I’ll eat a raw egg...",老子,1,"I'm just saying, it's not a scam—no big deal, just treat it as entertainment. I used to be a beast at grabbing prizes from claw machines. But that claw? It's rigged. No one's gonna win that. I swear on my life.","I'm just saying, those claw machines are basically scams. If you've got nothing better to do, treat it as entertainment. Back in my day, I was a beast at claw machines—I could shatter those claws with my bare hands. Whoever set the machine's grip clearly had no idea what they were doing—there's no way you could grab anything with it. I could probably crush an egg with that thing.",g
你练嘛我看哈你有啥子能耐有啥本事,"Go ahead and train, show me what you're capable of!",啥子|哈(语气词)|嘛(语气词),1,"Go ahead and show me what you've got, let me see what kind of skills and abilities you really have.",Let me see what you've got. Show me what you're capable of.,g
该喊你娃放假估到去屋头休息那你不听那下好了噻跑出去找坑了哦像我们那种啊都不得找坑那么多钱为啥子呢穷哦耍不起根本就不敢出去,"You should tell your kids just stay home and chill during the holiday, but you just wouldn't listen! Look at you now, they went out and got scammed! People like us never get scammed like that, you know why? Cause we're broke as hell! We can't afford to have fun at all, so we just don't dare to step foot outside!",啥子|噻|哦(语气词),1,"I told you to stay home and rest during the break, but you wouldn't listen. Now look what happened—you went out and got yourself into trouble. People like us, we never end up in these messes. Why? 'Cause we're broke. Can't afford to play. We simply don't dare to go out.","When I told you to go home and rest during your vacation, you wouldn't listen. Now look what's happened—you've gone and gotten yourself into trouble. People like me can't afford to get into trouble; we're too poor to even go out and have fun.",tie-bad
朱高兴三番两次不敢走如今要迁都了他却执意要留在南京他到底想干啥子不能再拖了让他马上就滚,"Zhu Gaoxing has backed out again and again. Now that the capital is being moved, he still insists on staying in Nanjing. What on earth is he trying to do? We can't delay any longer—get him out of there immediately.",啥子,1,"Zhu Gaoxing repeatedly dared not leave. Now that the capital is to be moved, he insists on staying in Nanjing. What the hell is he trying to do? This can't be delayed any longer—tell him to get the hell out right now.","After Zhu Gaoxing repeatedly refused to leave, now that the capital is being relocated, he insists on staying in Nanjing. What on earth is he trying to pull? This can't be dragged out any longer—tell him to get lost immediately.",g
生气哦可以安逸安逸巴适巴适,"Feeling grumpy? Relax—it'll all be great, nice and easy.",安逸|巴适|哦(语气词),2,"Getting angry? You can just take it easy, relax, and feel good.","When you're angry, you can relax and feel comfortable.",d
做干锅兔到底用不用穿水要咋个做才麻辣鲜香外酥里嫩看完这个视频你就明白了啊,"Should you blanch the rabbit before making dry pot rabbit? What's the right way to make it spicy, fragrant, crispy outside and tender inside? Watch this video and you'll find out.",咋个,1,"Do you need to blanch the rabbit when making dry pot rabbit? How do you make it spicy, fragrant, crispy on the outside, and tender on the inside? Watch this video, and you'll understand!","Should you blanch the rabbit for dry pot cooking? How do you make it spicy, numbing, fresh, and aromatic with a crispy outside and tender inside? Watch this video and you'll understand.",tie-good
整几箱送过去我们老头妈老汉啊就喜欢你们荣成家人这个牌子记得嘛好好记到整机箱记到的记到的记到的,"Let's send a few cases over. My parents really like your Rongcheng Jiaren brand. Remember that, okay? Make sure to send a few cases. Got it? Got it. Got it.",老汉|得嘛|嘛(语气词),1,"Send a few cases over. Our folks — my dad and mom — really like your brand, Rongcheng Family. Remember that, okay? Make a note of it. Send a few cases. Got it? Got it? Got it?",Send a few cases over to my folks. They really love the brand from your Rongcheng family. Make sure you remember that clearly - mark every single case. Got it? Got it? Got it?,tie-bad
尿布是要用好多来自啥子尿不湿但是叫尿片片,"How many diapers do you want to buy?Not diapers, we call it nappy pads.",啥子|片片,2,"The diaper is supposed to be used a lot, it's from some kind of diaper, but it's called a ""diaper piece.""","Diapers are called ""尿片片"" (piàn pian) here, even though they're the same thing as disposable diapers.",d
松哥正在准备一些更巴适的东西到时候我们一起打牙祭,"Brother Song is getting some even better goodies ready, and when the time comes, we'll have ourselves a proper feast.",巴适,1,"Song Ge is preparing something even more comfortable and satisfying, so when the time comes, we can all feast together.","Brother Song is preparing something even more awesome, and we'll treat ourselves to a feast together when it's ready.",g
咋打了老子耳屎给你唱过来最近发现一首中文儿歌,What's your problem? I'll smack you right across the ear! I recently came across a Chinese nursery rhyme,老子,1,How dare you slap me? I'll sing this back to you — I recently found a Chinese nursery rhyme.,I'll slap you so hard you'll hear it ringing in your ears. Recently discovered a Chinese nursery rhyme.,tie-bad
好不容易摸张六万这个时候都舍不得杠下去毕竟上涨确实太撇了,"I finally drew a six-characters tile, I didn't dare to declare a kong. The wait for a better hand was too risky.",确实,1,"After all the trouble, I finally drew a 60,000 tile. At a moment like this, I just can't bring myself to kong it, because the upward trend is really too weak.","I finally drew a six of characters, but I wasn't willing to kan it at that moment. The rise was just too weak.",tie-good
路上跑着来最后把脚跑痛了婆娘坐在路边人哭考死恼火了,She ran all the way until her feet were sore. Then the wife sat down by the roadside and burst into tears. It was such a miserable situation.,婆娘|恼火,2,"I ran all the way here, and in the end my feet were killing me. My wife sat by the roadside crying — she was so upset she was almost dying of worry.","Ran all the way here and ended up with sore feet. My wife sat on the roadside, crying her eyes out, and I was so pissed off.",d
用小火哈我们把它全部炒香你看下起那个颜色都巴适的斑,"Keep the heat low, okay? Stir-fry everything until fragrant. Look at that color—it looks absolutely perfect.",巴适|哈(语气词),1,"Use low heat, okay? Let's stir-fry it all until fragrant. Just look at that color—it's perfectly lovely.",Turn down the heat and stir-fry everything slowly until you see how beautifully golden brown it gets.,d
但是我对以色列人哈确实也恨不起来,"But honestly, I just can't bring myself to hate the Israeli people.",确实|哈(语气词),1,"But honestly, I just can't bring myself to hate the Israelis either.",But I really can't bring myself to hate the Israelis.,tie-bad
我硬是实在没得办法了,I'm completely out of options.,硬是,1,I really have no other choice.,I really have no other options left.,tie-good
哎我一看确实巴巴适适的结果把钱给了还没走到半条该咋这样子,"It looked perfectly fine to me, so I paid. But before I'd even gone halfway down the street, things went wrong.",确实|巴适,2,"Hey, I took one look and it was all neat and perfect, so I paid up. But then I hadn’t even walked half a block, and it turned out like this—how could it be?","I was so pleased with the service that I paid for it, but before I'd even gone half the distance, the problem happened all over again.",d
王总小老爷子从小到大你都能够客气哎呀硬是,"Mr. Wang, you've always been so polite ever since you were young. Honestly, you really haven't changed.",硬是,1,"Master Wang, from a young age to now, you've always been so polite — 哎呀, really now.","Mr. Wang, you've always been so polite and courteous since you were a kid, it's truly admirable.",g
我得擦原因是啥子我吃不得我一天累掉下来从早到晚有时间,Let me tell you why. I simply can't keep up—I'm exhausted from morning till night every single day.,啥子,1,"Let me tell you the real reason — I can’t eat it. I’m exhausted every single day, from morning till night, with no time at all.",The reason I'm complaining is that I'm so exhausted from working all day without a break that I don't even have time to eat.,g
哇这两个大这两个巴适,"Wow, these two are big.They look fantastic.",巴适,1,"Wow, these two are perfect!","Wow, these two are so cool!",d
时代在飞跃的发展现在已经是信息化了连老太婆不好,Times are advancing at an incredible pace—we're living in the information age now.,老太婆,1,The times are advancing rapidly. Now it's the age of information—even old ladies can't keep up easily.,"The times are advancing so rapidly that we're now in the information age, and even old ladies are getting tech-savvy.",g
小作儿你又跑了硬是逮不到你哦,"Hey, you little rascal! Ran off again!I really can't catch you.",硬是|哦(语气词),1,"You little rascal, you've run off again—I really can't catch you, huh?","You little rascal, you ran off again! I just can't catch you.",d
看看我的真正的祖母哇塞快来我打下的江山我的房子有点大要跟上哦这边是我的一个书房霸道总裁的感觉小说都不敢这样写我的祖真喜庆,"Come take a look at my ancestral home! Wow, come on in. This is the home I've built for myself. It's pretty big, so keep up! And over here is my study room. It feels like something straight out of a CEO drama—even novels wouldn't dare write it like this. My house is really rare.",霸道|哦(语气词),1,"Look at my truly amazing grandmother! Wow, come quick—this is the empire I’ve built. My house is kinda big, so keep up. Over here is my study—gives off major CEO vibes. Even novels wouldn’t dare write it like this. My ancestor is so full of joy and good fortune!","Check out my real grandma! Wow, come see the empire I've built. My house is a bit big, so keep up! This is my study. It has that overbearing CEO vibe—novels don't even write stuff like this. My ancestors are so festive!",tie-bad
脖子掉日你妈肚子是吊啊老子的桌子啊打桌子大,"The cup fell, and you even smashed my table!",老子,1,"Your neck’s hangin’—damn your mom’s belly—it’s danglin’ right on my table, man! Hittin’ the table, big as the table!","""Neck drop into your mom's belly is hanging, ah my table, ah hit the big table.",tie-bad
应该是外地的哈本地的应该这个时候没得千玉米这种炒起就非常的安逸,"It's probably from out of town. The local corn isn't usually available this time of year. Stir-fried like this, though, it's absolutely delicious.",安逸|哈(语气词),1,It must be from out of town. Locals probably wouldn't have this kind of dried corn to stir-fry at this time of year — it's really satisfying.,This must be from out of town. We locals don't usually get sweet corn at this time of year. It's absolutely delicious when stir-fried.,tie-bad
经常吵闹导致夫妻感情确实破裂社会的丈夫,Constant arguments really can destroy a marriage.,确实,1,"The husband, whose marriage has indeed broken down due to constant quarrels, is a member of society.",A husband whose constant arguments have truly destroyed his marital relationship.,tie-good
一直爬到山顶城市尽头的神女大道安逸得板,We climbed all the way to the mountaintop. The view from Shennü Avenue was absolutely amazing,安逸,1,"Keep climbing all the way to the top of the mountain, where the Goddess Boulevard at the edge of the city is incredibly comfortable.",The Goddess Avenue stretching to the city's edge at the mountaintop is incredibly relaxing.,tie-good
那你喜欢我讲普通话还是讲四川话我也喜欢你是个瓜婆娘哦那我还是当瓜婆娘嘛不说话,"So, do you prefer hearing me speak Mandarin or Sichuan dialect? — I like both. — ""You're such a silly girl."" — Fine, I'll be the silly girl then... I'll just keep quiet.",婆娘|哦(语气词)|嘛(语气词),1,"Then do you like me speaking Mandarin or Sichuanese?
I also like that you're a silly goose.
Oh, then I'll just be that silly goose and say nothing.",So do you prefer me speaking Mandarin or Sichuanese? I like that you're a silly woman. Then I'll just be a silly woman. Not talking.,g
设置那种玄关的确实是比较少当然四百八十六个平方的宅,"Homes with an entrance foyer like this are actually quite rare, especially in a house with 486 square meters of living space.",确实,1,"It is indeed quite rare to set up that kind of entrance hall, but of course, the residence is 486 square meters.","Homes with that kind of entryway are quite rare, especially for a 486-square-meter residence.",d
谢谢你再找个鱼塘呀有媳妇真安逸红烧菜也有汤也有你怕去跟你小舅舅闹理由订购的火柴总比吃外卖好警车检查对对海带灭就会打开,Thanks for going to find another fish pond. It's great having a wife—there's braised food and soup.The meals ordered from your youngest uncle are certainly better than eating takeout.,安逸,1,"Thank you! Find another fish pond. Having a wife is so comfortable. There are braised dishes and soup. You're afraid to go and argue with your little uncle. The matches you ordered are always better than ordering takeout. Police car inspection, right. Once the seaweed is gone, it will open.",REFUSAL,d
扎个大的血了我错了然后你心口头加一句嘛老子认到你本身就错了对不对嘛早就跟你说清楚了的,"I've really messed up. I admit I was wrong. Then you add, ""I already admitted it was my fault, didn't I? I told you clearly from the very beginning.""",老子|嘛(语气词),1,"I messed up big time, alright? I was wrong. Then you gotta add one more line from the heart—'I shouldn’t have crossed paths with you in the first place,' right? I told you clearly a long time ago.","I messed up big time, fine, I admit it. You can just add ""I knew it all along"" to that, since you were wrong in the first place, weren't you? I already made that clear to you.",tie-bad
不要乱丢感觉这里比较适合喜欢徒步探险而且有一定经验的朋友我觉得如果你确实找不到其他地方玩了那可以过来体验一下,"Don't litter. I think this place is better suited to people who enjoy hiking and have some outdoor experience. If you really can't find anywhere else to explore, it's worth coming here for the experience.",确实,1,"Don't litter. It feels like this place is more suited for friends who enjoy hiking and have some experience. I think if you really can't find anywhere else to have fun, then you can come check it out.","Don't litter. I feel this place is more suitable for friends who enjoy hiking and have some experience. I think if you really can't find anywhere else to go, you can come and experience it.",tie-good
我跟你们说嘛没有用完的调料拿来下面打淡水啊都是安逸的很的如果觉得幺妹儿做的还不错啊还是记得给幺妹儿点点赞点点关注哦蚊子哥哥快点回来吃饭呐,"Let me tell you, any leftover seasoning works great for this dish. If you think I did a decent job, don't forget to give me a like and a follow. Brother Wenzi, hurry back and let's eat!",安逸|哦(语气词)|嘛(语气词)|幺(称谓/方言),2,"Let me tell you, the leftover seasoning? Use it for noodles or boiling plain water—it's all real nice. If you think Little Sis’s cooking ain’t half bad, don’t forget to give her a thumbs up and hit that follow. Brother Mosquito, hurry up and come back for dinner!","Let me tell you, if you have leftover spices, just add them when you cook noodles with plain water—it's super delicious! If you think what I've made is pretty good, remember to give me a like and follow me! Mosquito bro, hurry back for dinner!",tie-bad
啊呀呀老公你痛不痛哦我日妈恐怕不痛嘛老公你先把上半身爬出来下半身再说啊婆娘,"Honey, are you okay? Damn it, of course it hurts! Honey, try to pull your upper body out first, and we'll deal with the rest afterwards.",婆娘|哦(语气词)|嘛(语气词),1,"Oh dear, my husband, does it hurt? Holy crap, I guess it doesn't hurt, right? Honey, try to crawl out with your upper body first, and we'll deal with the lower body later. Oh, my dear wife.","Oh my god, honey, are you in pain? Damn it, that must hurt! Honey, you get your upper body out first, then we'll worry about the lower part! Woman!",g
你硬是没把他打的跑得快哟我想要大一个,You really beat him so badly that he ran for his life. I'll take the bigger one.,硬是,1,You really didn't make him run fast enough! I want to grow bigger.,He really wasn't running fast enough for me. I want a bigger one.,d
我觉得很公平老子不干了跟我来嘛,I think that's fair. But I'm done with this—come with me.,老子|嘛(语气词),1,I think it's fair. I quit. Come with me.,"I think this is totally unfair, I'm out. Come with me.",g
没有啥子都没看到在这里真的啥子都没看到哪个瞎子火的嘛啥子都没看到我都莫名其妙的,"No,I didn't see anything. Seriously, I saw absolutely nothing. Only a blind person would lie to you.—I'm completely confused,too.",啥子|嘛(语气词),1,There's nothing at all. I really didn't see anything here. Which blind fool started this? Nothing at all. I'm totally confused myself.,"I didn't see a damn thing here, really didn't see a thing. Who the hell set it on fire? I didn't see a thing at all. I'm completely baffled.",g
至少这个学员懂得了啥子叫感恩这个呢也充分说明教练只要用心教,At least this student has learned what gratitude means. It also shows that as long as a coach teaches with dedication...,啥子,1,At least this student has come to understand what gratitude means. This also fully shows that as long as the coach teaches with dedication...,"At the very least, this student has learned what gratitude means. This also fully demonstrates that as long as coaches teach with heart, their efforts will pay off.",d
一一年到头他是真的是卖不到几套啊老表那些开发商是丰都城头拉二胡一天都在鬼扯,"He barely sells a few units all year round, buddy.Those developers are just playing the erhu in Fengdu ghost city—talking absolute ghost stories (nonsense) all day long.",老表,1,"All year long, he really can't sell more than a few units, bro. Those developers are just ghosting like they're playing erhu in Fengdu City—full of nonsense all day long.","Throughout the entire year, he can barely sell a few properties. Those developers in Fengdu are just full of crap, playing games all day long.",d
你们一旦错过了最好的年龄真的就很恼火虽然说你们可能因为前几年哈确实没有考虑这个事情或者说圈子确实,"Once you miss the best age for it, things can become really difficult. Maybe you just weren't thinking about it a few years ago, or perhaps your social circle wasn't right.",确实|恼火|哈(语气词),2,"Once you miss the best age, it's really gonna be tough. I mean, sure, maybe you just hadn't really thought about it in the past few years, or maybe your social circle really was too limited...","It's a real headache if you miss your prime age for this. I mean, maybe you didn't consider it properly a few years back, or perhaps your social circle just wasn't right.",d
你想说啥子我只想说今年大年三十我们公司我想不放假,What are you trying to say? — All I want to say is that I don't think our company will be taking New Year's Eve off this year.,啥子,1,"What do you want to say? All I want to say is that on New Year's Eve this year, our company probably won't have a day off.","Whatever you want to say, I just want to say that for this year's Chinese New Year's Eve, my company doesn't want to give us a day off.",d
是哎分厂的做可以的啊是分厂煮好多点煮粉才安逸,"Yeah, the pork intestine is done well. Let it cook a little longer—it's much better once it's fully cooked.",安逸,1,"That's right, the branch factory does a decent job. It’s the branch factory that makes a lot more noodles—only then is it truly satisfying.","The food at the branch factory is really good! They make so many more rice noodles there, which makes it so much more enjoyable.",g
你简直疯了咋个伯父你不是亲口对我说过我知道我知道你想跟我说什么,"Have you lost your mind? Uncle, didn't you tell me that yourself? — I know. I know exactly what you're trying to say.",咋个,1,"You must be out of your mind. Uncle, didn’t you tell me yourself? I know, I know what you’re trying to tell me.","You're crazy! But didn't you tell me yourself? I know, I know what you're trying to say.",tie-bad
家都不能去你咋个治国然后又咋个平天下讲道理嘛,"If you can't even manage your own family, how are you supposed to govern a country, let alone bring peace to the world? Be reasonable",咋个|嘛(语气词),1,"How can you govern the country if you can't even go home? And then how can you bring peace to the world? Come on, be reasonable!","If you can't even manage your own household, how can you possibly govern a country or bring peace to the world? Let's be reasonable here.",d
幺儿拿我的酒桶你们能干惨了刘九通瞬间莫得了,You guys are really something when it comes to taking my 9-Dots—the 6-Dots and 9-Dots were gone in a flash. ,莫得|幺(称谓/方言),2,My precious little one took my wine barrel — you guys are really something else — and now Liu Jiutong is instantly gone.,"Son, take my wine barrel, and you'll get Liu Jiutong drunk in an instant.",g
大错特错好多三十多岁还没有找到婆家的哈都是啥子二幺幺啊九八五啊一年收入一二十个人,That's completely wrong. Plenty of women in their thirties are still single because they're highly educated—graduates from top universities—and earning excellent incomes,啥子|哈(语气词),1,"Big mistake, big mistake! So many women in their thirties who haven't found a husband yet—what are they? Graduates from elite schools like 211 or 985, making a hundred to two hundred grand a year.",It's completely ridiculous that so many people in their thirties still haven't found a spouse. They're all those 211 or 985 university graduates making only 100-200k a year.,tie-bad
快速回来的可能就是这个虽然我确实有这种想法但是像说法那种又聪明又强势的人老子才造成人家什么瓜兮兮的东西,"This is probably the quickest way back. I did have that thought, but someone as smart and strong-willed as her isn't going to fall for that kind of foolish nonsense.",确实|老子,2,"The one who might come back quickly is this guy. Although I do have that thought in mind, for someone as clever and domineering as Shuo Fa, I wouldn't dare to make a fool out of them.","The one who might come back quickly is probably this person. Although I did have that thought, but someone who's both clever and forceful like that... I'm the one who made them all flustered and tongue-tied.",g
但现在你也晓得那个大环境都恼火,But you know what things are like these days—the overall situation is pretty rough.,恼火,1,But you know how tough the overall situation is right now.,But you know the situation is really tough these days.,tie-good
合作之后甘欣儿你把我当瓜娃子嗦咹这么两年了咹,"Gan Xiner, after all these years working together, you've been treating me like a fool?",瓜娃子,1,"After we worked together, Gan Xin'er, you took me for a fool, huh? After all these two years, huh?","After all this time working together, Gan Xin'er, have you really been treating me like a fool for the past two years?",d
真的相信我就行了噻小辉没有大家结婚恁个多年我才发现你吃啥子都喜欢吃啥坨坨大坨坨安逸噻你看,"Just trust me, Xiaohui. After all these years of marriage, I finally realized you like everything in big chunky bites. That's the best way to eat—look!",啥子|安逸|噻,2,"Just trust me, alright, Xiaohui? It’s not like we’ve been married for years and years. Only now do I realize that no matter what you eat, you always like it in big chunks. Big chunks are satisfying, right? See?","Just trust me, Xiao Hui. After being married for so many years, I've only just realized how much you love eating big chunks of everything. It's so cozy and satisfying, you know?",tie-bad
因为那个河水呀确确实实太大了最后呢没有办法我还是从那两个吊桥这样过来了啊,"The river was genuinely raging. In the end, I had no choice but to cross using those two suspension bridges.",确实,1,"Because the river water was truly too strong, in the end I had no choice but to cross over using those two suspension bridges like this.","The river was just way too big, so in the end, I had no choice but to cross over on those two suspension bridges.",d
下家单调五条他确实是想起手就碰三条来做成大单调的牌,The next player was waiting on the five bamboo tile. He clearly intended to pong the three bamboo right from the start to build a bigger hand.,确实,1,"The player on the lower side was holding a single 5 Bamboo tile, aiming to draw a 3 Bamboo at the very start to form a single-wait hand for a big win.","The player called for a single five of tiles, then immediately discarded the three of fives to complete a large sequence of three-of-a-kind.",tie-bad
盖的有独立的一个卫生间卫生间也有独立的窗户说实话那套房子的位置是相当的巴适房子也保持的非常好如果有喜欢那种药层盖露台的评论区联系我带你们实地看房,"It comes with a private bathroom, and even the bathroom has its own window. To be honest, the location is excellent, and the property has been kept in great condition. If you're interested in a split-level home with a rooftop terrace, leave a comment and I'll show you around in person.",巴适,1,"It comes with its own private bathroom, and the bathroom also has its own window. To be honest, the location of that apartment is really great, and the place has been kept in excellent condition. If you like the idea of having a terrace on the upper floor, leave a comment and I’ll take you to see it in person.","It has a private bathroom with its own window. To be honest, the location of this apartment is incredibly pleasant, and the unit is very well-maintained. If you're interested in this type of apartment with a rooftop terrace, contact me in the comments, and I'll arrange an in-person viewing.",tie-good
就是为什么下架或者是说里面如果确实呼声高我再满足一下朋友们,"That's why it was taken off the shelves. But if enough people really want it back, I'll do my best to bring it back for everyone.",确实,1,"Why was it taken off the shelves? Or, if there’s really a lot of demand, I’ll meet everyone’s wishes again.","That's why I'll take it down, or if there's really high demand, I'll bring it back to satisfy you guys.",tie-good
必不可少的真的是硬是用洗洁精都擦不脱好久都没有吃过了,It's absolutely indispensable. The grease is so stubborn that even dish soap won't get it off. I haven't had this in ages.,硬是,1,The absolutely necessary stuff is so stubborn that even dish soap can't scrub it off—haven't had it in ages.,It's an absolute essential that's so stubborn it won't even come off with dish soap. I haven't had it in ages.,d
哦超级的安逸看到我就选了几根选了三根根儿,"Oh, this is fantastic. As soon as I saw them, I picked out three.",安逸|哦(语气词),1,"Oh, it's super comfortable. I took a look and picked a few, just three sticks.","It felt so good, I just picked a few and ended up choosing three.",d
这道螃蟹没啥子多说的肉确实新鲜,There's really not much to say about these crabs—the meat is genuinely fresh.,确实|啥子,2,There’s not much to say about this crab—the meat is genuinely fresh.,There's not much to say about these crabs—the meat is genuinely fresh.,tie-good
那就地下货啊安逸我就害怕冷点心啊这个干完这,Then let's go with this one. Nice! I just don't like cold desserts. Let's finish this first.,安逸,1,"That's real good stuff down there — I'm just afraid of catching a chill, but once this bit's done, it's all good.","That underground goods are so comfortable, I'm just afraid of cold snacks, after this is done.",g
