sichuanese,english,matched_keywords,n_content,GLM-4-Plus_pred,GLM-4-Plus_refusal,GLM-4-Plus_BLEU,GLM-4-Plus_chrF,GLM-4-Plus_COMET,DeepSeek-V4-Flash_pred,DeepSeek-V4-Flash_refusal,DeepSeek-V4-Flash_BLEU,DeepSeek-V4-Flash_chrF,DeepSeek-V4-Flash_COMET
你就会说管我锤子事老子只有一套房子又不得卖涨也好跌也罢,All you gonna say is: who gives a crap? I’ve got exactly one property to my name and it’s not for sale. It can double in price or drop to zero for all I care!,老子,1,"You just mind your own damn business. I only have one house and I'm not selling it, so whether prices go up or down, it's none of my concern.",False,1.5231,18.5538,73.149,"You just keep saying, ""None of my damn business,"" but I only have one house and I'm not selling it. Whether it goes up or down, it doesn’t matter.",False,1.5344,17.2982,71.8495
确实是很实惠的而且这个房子是双位如果你对我们的房子感兴趣对价格也满意你可以在评论区留言或关注我我带大家实地看现场,"It really is a great deal, and this place comes with double bathrooms! If you’re interested in our property and happy with the price, feel free to drop a comment below or follow me. I’d love to take you all on a live, on-site tour!",确实,1,"It's really a great deal, and this is a two-bedroom apartment. If you're interested in our place and the price works for you, feel free to leave a comment in the section below or follow me, and I'll take you for an in-person tour.",False,25.2873,50.9406,81.7037,"Indeed, it's very reasonably priced, and this house has two units. If you're interested in our property and satisfied with the price, feel free to leave a comment or follow me. I'll take you to see it on-site.",False,27.5261,50.3496,78.1232
所以这个妖精麻将的可变空间确实太大了就看你是啥子思路,"So, the room for variation in this 'Yaojing Mahjong' is honestly massive. It really just comes down to what your overall strategy is.",确实|啥子,2,The variable space in this variant of Mahjong is incredibly large; it all depends on your approach.,False,3.5222,21.8683,79.9007,So the flexibility of this tricky mahjong game is indeed too huge—it all depends on your strategy.,False,2.2399,23.0394,77.4777
看样儿着得住有点来不及了直接睡到地上哎呀你个球队确实有点穷连单价都买不起,"Looks like they couldn't hold on, so they just slept right on the floor. Jeez, this team is so poor that they can't even afford a single room.",确实,1,"Looks like it's too late to make it, just gonna crash on the floor. Damn, your team is seriously broke, can't even afford a single unit.",False,22.734,44.6414,62.9428,"It looks like we’re running out of time, so just sleep on the floor. Damn, your team is really broke—can’t even afford a sheet.",False,13.7936,38.3957,74.6655
它存在短路现象啥子叫短路现象呢就是当我们运算时,"So, it exhibits a short-circuit phenomenon. What exactly is short-circuit evaluation? Well, it means that when we are executing",啥子,1,It has a short-circuit phenomenon. What is a short-circuit phenomenon? It's when we're performing operations...,False,17.8687,47.6667,75.4721,It has a short circuit phenomenon. What is a short circuit phenomenon? It means that when we are computing...,False,21.3311,51.6152,74.6686
他愿意退愿意退车让你亏三万块钱因为那个车确实我本来在,"He agreed to let you return the car, but you're gonna be down thirty grand. Regarding that car, I was actually...",确实,1,"He's willing to let you take a loss of 30,000 yuan on the car because... well, the car was originally mine to begin with.",False,10.129,26.7276,70.2994,"He's willing to accept a refund for the car and let you take a loss of 30,000 yuan, because honestly, that car was originally...",False,8.6896,30.9639,69.0955
谢谢大家了味道硬是安逸得很明天咋子欢迎大家在评论区留言哈,"Thank you so much, everyone! The flavor was honestly pure perfection! What should we do for tomorrow? Let me know in the comments section below!",硬是|安逸|哈(语气词),2,"Thanks everyone, the food was absolutely amazing! Feel free to leave a comment in the section below about what you'd like to have tomorrow.",False,4.302,35.6819,79.6841,"Thank you all, the taste is truly amazing. What about tomorrow? Feel free to leave your comments below.",False,4.1592,27.4331,81.0293
还好对家还在扯童子出来我这同情应该是没得啥子问题了,"Thankfully, my opposite player is still dumping Circles. At this rate, there shouldn't be any problem for my 'Full Flush of Circles' to win!",啥子,1,"Fortunately, my opponent is still bringing up that childish nonsense, so my sympathy should be pretty solid.",False,4.3168,26.0048,48.0186,"Fortunately, the opponent is still pulling some childish stunt, so my sympathy here should be no problem at all.",False,3.7192,29.6848,48.2239
这种花草滋润这个叫啥子狗牙根耐猜的那个肥牛羊狗,"This grass is growing so lush and healthy. It’s called Dog's Tooth grass. It's super wear-tolerant, and it’s great for feeding cows, sheep, and dogs!",啥子,1,"This type of grass, which is called Bermuda grass or cynodon dactylon, is so nutritious it could make any livestock fat.",False,2.0356,20.2773,49.8483,"This kind of plant nourishes what is called Bermuda grass, which is tough enough to withstand grazing by cattle, sheep, and dogs.",False,13.5884,29.5051,64.2438
下一位下一位老表宗教城那么搞中教城盘龙那个地方啊我买起我心头都发慌价格贵得抠看还不说,"Next, next! Man, that 'Zhongjiao City' over in the Panlong area? Buying a place there would honestly give me a panic attack! The price is insanely extortionate, and that's not even...",老表,1,"Next in line, next in line! That Religious City place? Or the one in Panlong? Man, even just thinking about buying something there makes my heart race. The prices are ridiculously expensive, and that's not even mentioning the poor quality.",False,11.1431,39.6422,65.896,"Next one, next one, bro. Over at the Religious Town area, that place over there—Zhongjiao City, Panlong—just thinking about buying there makes my heart race. The prices are sky-high, and that's not even mentioning the quality.",False,12.0372,43.2805,65.8822
那个房子的话确实它是一个一梯两户南北通透的户型哈,"This apartment is definitely a premium layout with one elevator serving just two units, with north-south cross ventilation.",确实|哈(语气词),1,"That apartment is indeed a well-designed unit with two apartments per floor, featuring north-south transparency for optimal airflow and light.",False,4.8853,33.153,77.4673,"As for that house, it's indeed a unit with one elevator serving two households, and it has a north-south through layout.",False,12.3849,42.0748,75.7251
智慧改变人生不过我现在那一个小担心那些贼娃子以前偷钱偷张卡就对了以后是不是要直接,"Smart tech really changes lives. But I do have this one tiny worry: back in the day, those little pickpockets were happy just stealing some cash or a card. In the future, are they gonna have to...",贼娃子,1,"Smart choices can change your life, but right now I've got this small worry: back then, those thieves only stole cash and cards. I'm just wondering if they're going to start going for bigger things now.",False,4.8274,29.9369,78.0865,"Wisdom changes life. But right now, I've got this little worry—those thieves used to just steal cash or a card, but now, are they gonna start taking people directly?",False,12.1883,37.7049,72.975
都认可他的能力对他的人品已没得啥子恶感,"Everyone acknowledges his abilities, so no one holds megative feelings about this character.",啥子,1,Everyone acknowledges his ability and holds no ill will toward his character.,False,13.4851,55.1267,79.1959,"Everyone acknowledges his abilities, and they no longer have any negative feelings about his character.",False,28.176,77.3822,82.411
那就安逸下酒干巴适得干,Now this is what I call the ultimate booze food! Pure bliss!,安逸|巴适,2,That's some fine dried meat to go with my drink—completely satisfying!,False,2.8666,15.052,51.8062,"That's so satisfying, perfect with a drink—dry it up, just right!",False,2.8398,12.6772,50.049
好的成功打瘸五万又出来了那必须碰我也不晓得对家手中是啥子牌但九桶利用率很低那就先打九桶,"Alright, I successfully cleared my Characters, but another 5-Character just showed up. Well, that’s a must-pong for sure! I have no idea what my opposite player is holding, but this 9-Circle has zero utility right now, so let’s dump the 9-Circle first.",啥子,1,"Alright, I successfully knocked out 50,000 and now I'm back in the game. I have to play against them, but I don't know what cards they have. The nine-buckets are not very useful right now, so I'll start with those.",False,10.2315,29.0618,60.5748,"Alright, managed to cripple 50,000 and now it's out again. Gotta bump it. I don’t know what tiles the opponent across has in hand, but the nine of circles has low utility, so I’ll discard the nine of circles first.",False,2.9932,25.8052,54.6807
再上底色趁底色还没干透开始抓花啥子叫抓花烟,"Next, apply the base coat. While the base coat is still wet, start scratching out the patterns. So, what exactly do we mean by 'scratching out patterns'? Well...",啥子,1,"While the base coat is still wet, apply the top color to create a marbled effect. This technique is called ""zhuā huā yān"" (marbling).",False,21.9183,34.6629,66.0057,"Apply the base color again, and while it's still wet, start 'catching the pattern'—you know, creating the smoke-like marbled effect.",False,7.9293,37.8627,71.2977
方便了出门都是二校出门都是新世纪周围买买点东西啊买点吃的喝的用的啊那是相当的安逸朋友们,"It's just so convenient! Step out the door, and you've got the No.2 School right there, plus the New Century Shopping Mall. Grabbing groceries, getting a bite to eat, a drink, or daily essentials—it is honestly pure bliss, my friends!",安逸,1,"It's super convenient to go out now. You're always near Erxiao or Xinshiji shopping malls, so you can easily grab whatever you need—food, drinks, daily supplies. It's really comfortable and hassle-free for us folks.",False,1.3251,25.3307,67.8107,"When it's convenient, you step out and you're right at Erxiao, or just a few steps away from Xinshiji. You can buy some stuff around—snacks, drinks, daily necessities—it's super comfy and chill, my friends.",False,4.4595,28.9584,65.2098
把大画小不是把小画大是啥子问题就修啥子他这个本驰是啥子问题嘛,"You are supposed to minimize big issues, not blow small problems out of proportion! Just fix only what's actually broken. So what on earth is wrong with his Benz anyway?!",啥子|嘛(语气词),1,Making a big picture smaller isn't a problem; making a small picture bigger is. What's the issue with his Benchi?,False,2.6734,24.687,55.4406,Fixing big issues instead of small ones — that's not the problem. The real problem is fixing what needs fixing. What's wrong with his Benz?,False,9.3935,33.6522,74.5837
我儿豁只有找到川渝婆娘才明白的道理衣架子,"Holly shit, you don't truly know what a 'clothes hanger' is capable of until you get yourself a Sichuan/Chongqing wife.",婆娘,1,"Only after finding a woman from Sichuan or Chongqing will you truly understand the meaning of ""衣架子"" (yī jià zi) - a term that refers to someone with a great figure, like a clothes hanger that makes any outfit look good.",False,1.3463,34.7061,56.1439,"I swear to god, some things you only understand when you end up with a woman from Sichuan or Chongqing—like why we call clothes hangers 'yì jià zi' (shoulder racks).",False,1.7036,33.7124,62.8714
我真的很想问一下自己为啥子不打一筒出去,I seriously need to ask myself: why on earth didn't I just dump that 1 bamboo?!,啥子,1,I really wanna ask myself why I didn't just play a straight tile.,False,5.4355,27.0314,62.4639,I really want to ask myself why I didn’t play that one bamboo tile.,False,9.5747,33.057,58.9572
的小西嘎嘎走,Walk it out!,嘎嘎,1,My little one is walking around.,False,0.0,21.2238,54.2824,"Walk step by step, little by little.",False,4.7677,17.7817,44.2908
你们莫说那个肺啊洗的时候确实难洗但是随便你炖稍微加点辣椒炖炖出来真的好吃啊,"Don't judge, guys! Cleaning tripe or lung is honestly a total nightmare. But once it's clean? Just stew it however you like with a touch of chili, it comes out so incredibly delicious!",确实,1,"I know the lungs are hard to clean, but once you stew them with a little chili, they turn out incredibly delicious.",False,3.6159,30.3646,68.9741,"Don’t even mention those lungs—they’re a real pain to wash, I tell ya. But no matter how you stew ’em, just throw in a little chili, and once they’re done, oh man, they’re absolutely delicious.",False,3.1809,27.9934,68.4384
我以为哎老师你狗子跑了回来跑不了庙老子回来之后收拾到你狗日的,"I thought—hey, teacher! Your dog's run off! You might have slipped away now, but I know where you live! Once I'm back, I'm gonna kick your ass, you son of a bitch.",老子,1,"I thought your dog ran away and couldn't get back, but I'm back now and I'm gonna deal with that son of a bitch.",False,12.3529,34.2306,69.6649,"I thought, hey teacher, your dog's run off—but the temple can't run away. Once I'm back, I'll deal with you, you bastard.",False,8.7507,37.1321,65.7052
当然他不会真希望男人被砍了脑壳同义词神经病背时的,"Of course, he doesn’t actually want the man to be decapitated, that's just a synonym for 'freak,' or 'goddamned troublemaker.'",背时,1,"Of course, he doesn't really want the man to be beheaded—what a psycho, the damn idiot.",False,23.6016,38.7407,67.8366,"Of course, he wouldn’t actually want the man to get his head chopped off.  
Synonyms: crazy, unlucky bastard.",False,23.8313,39.4891,62.3038
就给大家做好喽配上火爆鲜辣过硬的口感口味独特真的巴适,"There you go, all done! It’s got that signature blazing-hot, crisp, and hard-hitting kick. The flavor is unique and very satisfying!",巴适,1,"We've got it perfectly prepared for you with a fiery, fresh, and bold kick. The texture is spot-on, the flavor is truly one-of-a-kind, and honestly, it's just pure bliss.",False,6.4189,29.678,73.0009,"Here it is, made just for everyone — paired with a fiery, spicy kick and a bold, rock-solid texture. The flavor is truly one of a kind — really, really satisfying.",False,7.8438,31.354,72.3127
瓜娃子真的,"What an idiot, really.",瓜娃子,1,You're such an idiot.,False,19.3577,32.2162,81.0685,The guy's really a dummy.,False,9.6524,24.2283,64.4729
啥子品种乖不乖当然乖了,What breed is it? Is it good-looking? Of course it is.,啥子,1,Of course the breed is good!,False,6.8334,31.5859,63.2169,What breed is it? Is it well-behaved? Of course it is!,False,69.9752,63.5537,80.2633
那个味道硬是安逸的很哦我先吃了哈,The taste is so damn good. I'll go ahead first!,硬是|安逸|哈(语气词)|哦(语气词),2,"That taste is just so damn good, I'm gonna have some first.",False,14.4589,44.8329,84.8801,"That flavor is truly delightful. I'll go ahead and eat first, alright?",False,18.2071,37.4561,82.7013
你吹啥子啊你干你的哇喊你快点快点查的你再给我员工嗦快点说快点瓜娃子,"What are you bragging about? Do your job! Hurry up! Stop chatting with my employees! Hurry up, stop chatting, you idiot.",啥子|瓜娃子,2,"What are you bragging about? Get back to your work! I told you to check it faster! Tell your employee to hurry up! Speak faster, you idiot!",False,20.3372,47.1826,75.3359,"What are you bragging about? Just mind your own business, alright? I told you to hurry up and check! Talk to my staff again? Hurry up and say it, you idiot.",False,21.3372,45.1446,73.0042
加生抽老抽调味那颗甜蜜蜜的冰糖摊开下猪蹄哇现在看到都安逸然后我们盖上盖子,"Season it with light and dark soy sauce, then scatter in those sweet little crystal sugars. Drop in the pork trotters. Wow, they look so incredibly mouthwatering already! Now, let's pop the lid on.",安逸,1,"Add light and dark soy sauce for seasoning, along with that sweet rock sugar, and spread it out under the pig's trotter. Just looking at it now is so satisfying. Then we'll put the lid on.",False,16.6991,37.5311,68.669,"Add light and dark soy sauce to season, then toss in that sweet rock sugar. Once the pig trotters are spread out, wow, just looking at them now feels so satisfying. Then we cover the lid.",False,12.6321,37.9787,70.9037
我说那儿不是骗钱的没得事就当娱乐一下我以前抓娃娃凶的劈爆他那个爪爪设置过的哪个抓得起来老子把鸡蛋,"I told you it’s not a scam, but hey, it’s just for fun. I used to be an absolute beast at claw machines. But their claw is definitely modified. No one can win that. If they do, I swear I’ll eat a raw egg...",老子,1,"I'm just saying, those claw machines are basically scams. If you've got nothing better to do, treat it as entertainment. Back in my day, I was a beast at claw machines—I could shatter those claws with my bare hands. Whoever set the machine's grip clearly had no idea what they were doing—there's no way you could grab anything with it. I could probably crush an egg with that thing.",False,4.0514,29.8466,67.0159,"I'm just saying, it's not a scam—no big deal, just treat it as entertainment. I used to be a beast at grabbing prizes from claw machines. But that claw? It's rigged. No one's gonna win that. I swear on my life.",False,16.7942,41.9051,71.2932
你练嘛我看哈你有啥子能耐有啥本事,"Go ahead and train, show me what you're capable of!",啥子|哈(语气词)|嘛(语气词),1,Let me see what you've got. Show me what you're capable of.,False,26.5848,55.0574,76.0338,"Go ahead and show me what you've got, let me see what kind of skills and abilities you really have.",False,11.6193,46.5529,76.8725
该喊你娃放假估到去屋头休息那你不听那下好了噻跑出去找坑了哦像我们那种啊都不得找坑那么多钱为啥子呢穷哦耍不起根本就不敢出去,"You should tell your kids just stay home and chill during the holiday, but you just wouldn't listen! Look at you now, they went out and got scammed! People like us never get scammed like that, you know why? Cause we're broke as hell! We can't afford to have fun at all, so we just don't dare to step foot outside!",啥子|噻|哦(语气词),1,"When I told you to go home and rest during your vacation, you wouldn't listen. Now look what's happened—you've gone and gotten yourself into trouble. People like me can't afford to get into trouble; we're too poor to even go out and have fun.",False,4.1531,33.1678,71.7054,"I told you to stay home and rest during the break, but you wouldn't listen. Now look what happened—you went out and got yourself into trouble. People like us, we never end up in these messes. Why? 'Cause we're broke. Can't afford to play. We simply don't dare to go out.",False,10.4323,44.2222,74.0724
朱高兴三番两次不敢走如今要迁都了他却执意要留在南京他到底想干啥子不能再拖了让他马上就滚,"Zhu Gaoxing has backed out again and again. Now that the capital is being moved, he still insists on staying in Nanjing. What on earth is he trying to do? We can't delay any longer—get him out of there immediately.",啥子,1,"After Zhu Gaoxing repeatedly refused to leave, now that the capital is being relocated, he insists on staying in Nanjing. What on earth is he trying to pull? This can't be dragged out any longer—tell him to get lost immediately.",False,40.1116,62.5163,75.0606,"Zhu Gaoxing repeatedly dared not leave. Now that the capital is to be moved, he insists on staying in Nanjing. What the hell is he trying to do? This can't be delayed any longer—tell him to get the hell out right now.",False,36.6387,56.193,81.1323
生气哦可以安逸安逸巴适巴适,"Feeling grumpy? Relax—it'll all be great, nice and easy.",安逸|巴适|哦(语气词),2,"When you're angry, you can relax and feel comfortable.",False,4.5037,17.7053,58.3244,"Getting angry? You can just take it easy, relax, and feel good.",False,3.657,20.753,68.9523
做干锅兔到底用不用穿水要咋个做才麻辣鲜香外酥里嫩看完这个视频你就明白了啊,"Should you blanch the rabbit before making dry pot rabbit? What's the right way to make it spicy, fragrant, crispy outside and tender inside? Watch this video and you'll find out.",咋个,1,"Should you blanch the rabbit for dry pot cooking? How do you make it spicy, numbing, fresh, and aromatic with a crispy outside and tender inside? Watch this video and you'll understand.",False,44.4728,64.596,77.6624,"Do you need to blanch the rabbit when making dry pot rabbit? How do you make it spicy, fragrant, crispy on the outside, and tender on the inside? Watch this video, and you'll understand!",False,37.5623,65.8165,83.4511
整几箱送过去我们老头妈老汉啊就喜欢你们荣成家人这个牌子记得嘛好好记到整机箱记到的记到的记到的,"Let's send a few cases over. My parents really like your Rongcheng Jiaren brand. Remember that, okay? Make sure to send a few cases. Got it? Got it. Got it.",老汉|得嘛|嘛(语气词),1,Send a few cases over to my folks. They really love the brand from your Rongcheng family. Make sure you remember that clearly - mark every single case. Got it? Got it? Got it?,False,22.938,51.0087,67.5426,"Send a few cases over. Our folks — my dad and mom — really like your brand, Rongcheng Family. Remember that, okay? Make a note of it. Send a few cases. Got it? Got it? Got it?",False,41.1292,64.7259,77.1304
尿布是要用好多来自啥子尿不湿但是叫尿片片,"How many diapers do you want to buy?Not diapers, we call it nappy pads.",啥子|片片,2,"Diapers are called ""尿片片"" (piàn pian) here, even though they're the same thing as disposable diapers.",False,2.2732,25.4565,59.3509,"The diaper is supposed to be used a lot, it's from some kind of diaper, but it's called a ""diaper piece.""",False,1.9012,24.3166,52.0035
松哥正在准备一些更巴适的东西到时候我们一起打牙祭,"Brother Song is getting some even better goodies ready, and when the time comes, we'll have ourselves a proper feast.",巴适,1,"Brother Song is preparing something even more awesome, and we'll treat ourselves to a feast together when it's ready.",False,9.8136,45.1845,83.4663,"Song Ge is preparing something even more comfortable and satisfying, so when the time comes, we can all feast together.",False,19.1866,39.2354,76.7122
咋打了老子耳屎给你唱过来最近发现一首中文儿歌,What's your problem? I'll smack you right across the ear! I recently came across a Chinese nursery rhyme,老子,1,I'll slap you so hard you'll hear it ringing in your ears. Recently discovered a Chinese nursery rhyme.,False,13.7859,38.9881,67.6753,How dare you slap me? I'll sing this back to you — I recently found a Chinese nursery rhyme.,False,15.8213,41.3963,72.4502
好不容易摸张六万这个时候都舍不得杠下去毕竟上涨确实太撇了,"I finally drew a six-characters tile, I didn't dare to declare a kong. The wait for a better hand was too risky.",确实,1,"I finally drew a six of characters, but I wasn't willing to kan it at that moment. The rise was just too weak.",False,12.7895,39.0314,55.3646,"After all the trouble, I finally drew a 60,000 tile. At a moment like this, I just can't bring myself to kong it, because the upward trend is really too weak.",False,9.2612,30.6822,59.7037
路上跑着来最后把脚跑痛了婆娘坐在路边人哭考死恼火了,She ran all the way until her feet were sore. Then the wife sat down by the roadside and burst into tears. It was such a miserable situation.,婆娘|恼火,2,"Ran all the way here and ended up with sore feet. My wife sat on the roadside, crying her eyes out, and I was so pissed off.",False,7.8033,34.9199,73.468,"I ran all the way here, and in the end my feet were killing me. My wife sat by the roadside crying — she was so upset she was almost dying of worry.",False,12.4164,39.8927,71.3787
用小火哈我们把它全部炒香你看下起那个颜色都巴适的斑,"Keep the heat low, okay? Stir-fry everything until fragrant. Look at that color—it looks absolutely perfect.",巴适|哈(语气词),1,Turn down the heat and stir-fry everything slowly until you see how beautifully golden brown it gets.,False,4.8332,32.4929,73.1223,"Use low heat, okay? Let's stir-fry it all until fragrant. Just look at that color—it's perfectly lovely.",False,13.9885,51.8017,85.7898
但是我对以色列人哈确实也恨不起来,"But honestly, I just can't bring myself to hate the Israeli people.",确实|哈(语气词),1,But I really can't bring myself to hate the Israelis.,False,38.9021,62.0664,90.8369,"But honestly, I just can't bring myself to hate the Israelis either.",False,77.4403,87.4683,91.3334
我硬是实在没得办法了,I'm completely out of options.,硬是,1,I really have no other options left.,False,6.5673,26.8677,86.8527,I really have no other choice.,False,6.5673,9.716,83.0409
哎我一看确实巴巴适适的结果把钱给了还没走到半条该咋这样子,"It looked perfectly fine to me, so I paid. But before I'd even gone halfway down the street, things went wrong.",确实|巴适,2,"I was so pleased with the service that I paid for it, but before I'd even gone half the distance, the problem happened all over again.",False,11.1467,37.8268,75.1142,"Hey, I took one look and it was all neat and perfect, so I paid up. But then I hadn’t even walked half a block, and it turned out like this—how could it be?",False,7.5458,30.651,68.9923
王总小老爷子从小到大你都能够客气哎呀硬是,"Mr. Wang, you've always been so polite ever since you were young. Honestly, you really haven't changed.",硬是,1,"Mr. Wang, you've always been so polite and courteous since you were a kid, it's truly admirable.",False,44.3448,53.1227,83.8721,"Master Wang, from a young age to now, you've always been so polite — 哎呀, really now.",False,25.9825,42.6688,65.5835
我得擦原因是啥子我吃不得我一天累掉下来从早到晚有时间,Let me tell you why. I simply can't keep up—I'm exhausted from morning till night every single day.,啥子,1,The reason I'm complaining is that I'm so exhausted from working all day without a break that I don't even have time to eat.,False,3.7879,30.5571,68.9069,"Let me tell you the real reason — I can’t eat it. I’m exhausted every single day, from morning till night, with no time at all.",False,20.6674,59.6151,69.0837
哇这两个大这两个巴适,"Wow, these two are big.They look fantastic.",巴适,1,"Wow, these two are so cool!",False,35.531,42.4673,73.2878,"Wow, these two are perfect!",False,34.7182,41.2103,69.1457
时代在飞跃的发展现在已经是信息化了连老太婆不好,Times are advancing at an incredible pace—we're living in the information age now.,老太婆,1,"The times are advancing so rapidly that we're now in the information age, and even old ladies are getting tech-savvy.",False,13.8178,52.9722,74.9335,The times are advancing rapidly. Now it's the age of information—even old ladies can't keep up easily.,False,5.0912,41.7709,65.4779
小作儿你又跑了硬是逮不到你哦,"Hey, you little rascal! Ran off again!I really can't catch you.",硬是|哦(语气词),1,"You little rascal, you ran off again! I just can't catch you.",False,36.6059,67.4561,90.2016,"You little rascal, you've run off again—I really can't catch you, huh?",False,19.6678,70.9258,88.449
看看我的真正的祖母哇塞快来我打下的江山我的房子有点大要跟上哦这边是我的一个书房霸道总裁的感觉小说都不敢这样写我的祖真喜庆,"Come take a look at my ancestral home! Wow, come on in. This is the home I've built for myself. It's pretty big, so keep up! And over here is my study room. It feels like something straight out of a CEO drama—even novels wouldn't dare write it like this. My house is really rare.",霸道|哦(语气词),1,"Check out my real grandma! Wow, come see the empire I've built. My house is a bit big, so keep up! This is my study. It has that overbearing CEO vibe—novels don't even write stuff like this. My ancestors are so festive!",False,21.5931,40.2677,62.4917,"Look at my truly amazing grandmother! Wow, come quick—this is the empire I’ve built. My house is kinda big, so keep up. Over here is my study—gives off major CEO vibes. Even novels wouldn’t dare write it like this. My ancestor is so full of joy and good fortune!",False,25.4704,47.9083,64.822
脖子掉日你妈肚子是吊啊老子的桌子啊打桌子大,"The cup fell, and you even smashed my table!",老子,1,"""Neck drop into your mom's belly is hanging, ah my table, ah hit the big table.",False,4.2377,24.6918,41.2772,"Your neck’s hangin’—damn your mom’s belly—it’s danglin’ right on my table, man! Hittin’ the table, big as the table!",False,4.6575,24.7157,39.0826
应该是外地的哈本地的应该这个时候没得千玉米这种炒起就非常的安逸,"It's probably from out of town. The local corn isn't usually available this time of year. Stir-fried like this, though, it's absolutely delicious.",安逸|哈(语气词),1,This must be from out of town. We locals don't usually get sweet corn at this time of year. It's absolutely delicious when stir-fried.,False,29.0026,56.5722,80.5581,It must be from out of town. Locals probably wouldn't have this kind of dried corn to stir-fry at this time of year — it's really satisfying.,False,22.5349,42.3161,78.7041
经常吵闹导致夫妻感情确实破裂社会的丈夫,Constant arguments really can destroy a marriage.,确实,1,A husband whose constant arguments have truly destroyed his marital relationship.,False,4.0272,48.5163,75.3891,"The husband, whose marriage has indeed broken down due to constant quarrels, is a member of society.",False,2.5198,31.7933,55.7985
一直爬到山顶城市尽头的神女大道安逸得板,We climbed all the way to the mountaintop. The view from Shennü Avenue was absolutely amazing,安逸,1,The Goddess Avenue stretching to the city's edge at the mountaintop is incredibly relaxing.,False,7.482,31.8312,58.6542,"Keep climbing all the way to the top of the mountain, where the Goddess Boulevard at the edge of the city is incredibly comfortable.",False,14.1539,36.7552,60.9524
那你喜欢我讲普通话还是讲四川话我也喜欢你是个瓜婆娘哦那我还是当瓜婆娘嘛不说话,"So, do you prefer hearing me speak Mandarin or Sichuan dialect? — I like both. — ""You're such a silly girl."" — Fine, I'll be the silly girl then... I'll just keep quiet.",婆娘|哦(语气词)|嘛(语气词),1,So do you prefer me speaking Mandarin or Sichuanese? I like that you're a silly woman. Then I'll just be a silly woman. Not talking.,False,5.9616,40.2993,70.4232,"Then do you like me speaking Mandarin or Sichuanese?
I also like that you're a silly goose.
Oh, then I'll just be that silly goose and say nothing.",False,3.9056,38.3928,67.1506
设置那种玄关的确实是比较少当然四百八十六个平方的宅,"Homes with an entrance foyer like this are actually quite rare, especially in a house with 486 square meters of living space.",确实,1,"Homes with that kind of entryway are quite rare, especially for a 486-square-meter residence.",False,13.3313,40.8782,80.7834,"It is indeed quite rare to set up that kind of entrance hall, but of course, the residence is 486 square meters.",False,8.166,35.9034,69.2405
谢谢你再找个鱼塘呀有媳妇真安逸红烧菜也有汤也有你怕去跟你小舅舅闹理由订购的火柴总比吃外卖好警车检查对对海带灭就会打开,Thanks for going to find another fish pond. It's great having a wife—there's braised food and soup.The meals ordered from your youngest uncle are certainly better than eating takeout.,安逸,1,REFUSAL,False,0.0,0.0,26.9311,"Thank you! Find another fish pond. Having a wife is so comfortable. There are braised dishes and soup. You're afraid to go and argue with your little uncle. The matches you ordered are always better than ordering takeout. Police car inspection, right. Once the seaweed is gone, it will open.",False,7.9007,47.8437,54.8148
扎个大的血了我错了然后你心口头加一句嘛老子认到你本身就错了对不对嘛早就跟你说清楚了的,"I've really messed up. I admit I was wrong. Then you add, ""I already admitted it was my fault, didn't I? I told you clearly from the very beginning.""",老子|嘛(语气词),1,"I messed up big time, fine, I admit it. You can just add ""I knew it all along"" to that, since you were wrong in the first place, weren't you? I already made that clear to you.",False,4.2786,30.7743,73.8973,"I messed up big time, alright? I was wrong. Then you gotta add one more line from the heart—'I shouldn’t have crossed paths with you in the first place,' right? I told you clearly a long time ago.",False,21.5415,40.4575,63.0808
不要乱丢感觉这里比较适合喜欢徒步探险而且有一定经验的朋友我觉得如果你确实找不到其他地方玩了那可以过来体验一下,"Don't litter. I think this place is better suited to people who enjoy hiking and have some outdoor experience. If you really can't find anywhere else to explore, it's worth coming here for the experience.",确实,1,"Don't litter. I feel this place is more suitable for friends who enjoy hiking and have some experience. I think if you really can't find anywhere else to go, you can come and experience it.",False,40.0018,62.8871,82.4212,"Don't litter. It feels like this place is more suited for friends who enjoy hiking and have some experience. I think if you really can't find anywhere else to have fun, then you can come check it out.",False,35.1107,61.0687,82.4493
我跟你们说嘛没有用完的调料拿来下面打淡水啊都是安逸的很的如果觉得幺妹儿做的还不错啊还是记得给幺妹儿点点赞点点关注哦蚊子哥哥快点回来吃饭呐,"Let me tell you, any leftover seasoning works great for this dish. If you think I did a decent job, don't forget to give me a like and a follow. Brother Wenzi, hurry back and let's eat!",安逸|哦(语气词)|嘛(语气词)|幺(称谓/方言),2,"Let me tell you, if you have leftover spices, just add them when you cook noodles with plain water—it's super delicious! If you think what I've made is pretty good, remember to give me a like and follow me! Mosquito bro, hurry back for dinner!",False,21.0965,42.4834,73.3884,"Let me tell you, the leftover seasoning? Use it for noodles or boiling plain water—it's all real nice. If you think Little Sis’s cooking ain’t half bad, don’t forget to give her a thumbs up and hit that follow. Brother Mosquito, hurry up and come back for dinner!",False,17.1603,48.7834,66.1174
